model,macro_f1
ProsusAI/finbert,0.84
cardiffnlp/twitter-xlm-roberta-base-sentiment,0.6689
finiteautomata/beto-sentiment-analysis,0.672
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,0.8172
ahmedrachid/FinancialBERT-Sentiment-Analysis,0.98
finiteautomata/bertweet-base-sentiment-analysis,0.72
christian-phu/bert-finetuned-japanese-sentiment,0.73
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,0.97
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,0.81
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,0.69
RecordedFuture/Swedish-Sentiment-Fear,0.87
cardiffnlp/camembert-base-tweet-sentiment-fr,0.73
samayash/finetuning-financial-news-sentiment,0.875
hakonmh/sentiment-xdistil-uncased,0.934
avichr/heBERT_sentiment_analysis,0.86
Sigma/financial-sentiment-analysis,0.992
w11wo/indonesian-roberta-base-sentiment-classifier,0.92
fergusq/finbert-finnsentiment,0.864
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,0.64
philschmid/distilbert-base-multilingual-cased-sentiment-2,0.748
lucas-leme/FinBERT-PT-BR,0.73
abhishek/autonlp-swahili-sentiment-615517563,0.61
Jean-Baptiste/roberta-large-financial-news-sentiment-en,0.932
seara/rubert-tiny2-russian-sentiment,0.75
emre/turkish-sentiment-analysis,0.95
eevvgg/StanceBERTa,0.778
IAyoub/finetuning-bert-sentiment-reviews-2,0.837
Voicelab/herbert-base-cased-sentiment,0.705
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,0.91
cardiffnlp/twitter-roberta-base-dec2021-sentiment,0.715
Souvikcmsa/BERT_sentiment_analysis,0.802
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,0.583
FinanceInc/auditor_sentiment_finetuned,0.845
RecordedFuture/Swedish-Sentiment-Violence,0.768
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,0.836
bardsai/finance-sentiment-zh-base,0.966
seara/rubert-base-cased-russian-sentiment,0.77
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,0.903
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,0.771
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,0.707
